journal,issn,nlm_id,categories,group
Neuroimmunomodulation,1423-0216,9422763,Neurology,general
Neuroinformatics,1559-0089,101142069,Neurology,general
Neurologia i neurochirurgia polska,1897-4260,0101265,Neurology,general
Neurologia medico-chirurgica,1349-8029,0400775,Neurology,general
Neurologic clinics,1557-9875,8219232,Neurology,general
Neurological research,1743-1328,7905298,Neurology,general
Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,1590-3478,100959175,Neurology,general
Neurología,2173-5808,101778590,Neurology,general
Neurology India,1998-4022,0042005,Neurology,general
Neurology. Clinical practice,2163-0933,101577149,Neurology,general
Neurology® neuroimmunology & neuroinflammation,2332-7812,101636388,Neurology,general
Neuromodulation : journal of the International Neuromodulation Society,1525-1403,9804159,Neurology,general
Neuromolecular medicine,1559-1174,101135365,Neurology,general
Neuromuscular disorders : NMD,1873-2364,9111470,Neurology,general
Neuron,1097-4199,8809320,Neurology,general
Neuropathology : official journal of the Japanese Society of Neuropathology,1440-1789,9606526,Neurology,general
Neuropathology and applied neurobiology,1365-2990,7609829,Neurology,general
Neuropediatrics,1439-1899,8101187,Neurology,general
Neuropeptides,1532-2785,8103156,Neurology,general
Neuropharmacology,1873-7064,0236217,Neurology,general
Neurophysiologie clinique = Clinical neurophysiology,1769-7131,8804532,Neurology,general
"Neuropsychiatrie : Klinik, Diagnostik, Therapie und Rehabilitation : Organ der Gesellschaft Österreichischer Nervenärzte und Psychiater",2194-1327,9440588,Neurology,general
Neuropsychobiology,1423-0224,7512895,Neurology,general
Neuropsychologia,1873-3514,0020713,Neurology,general
Neuropsychological rehabilitation,1464-0694,9112672,Neurology; Physical and Rehabilitation Medicine,general
Neuropsychology,1931-1559,8904467,Neurology,general
Neuropsychology review,1573-6660,9009029,Neurology,general
Neuropsychopharmacologia Hungarica : a Magyar Pszichofarmakológiai Egyesület lapja = official journal of the Hungarian Association of Psychopharmacology,2064-2512,100961631,Neurology,general
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,1740-634X,8904907,Neurology,general
Neuropsychopharmacology reports,2574-173X,101719700,Neurology,general
Neuroradiology,1432-1920,1302751,Neurology,general
NeuroRehabilitation,1878-6448,9113791,Neurology; Physical and Rehabilitation Medicine,general
Neurorehabilitation and neural repair,1552-6844,100892086,Neurology; Physical and Rehabilitation Medicine,general
Neuroreport,1473-558X,9100935,Neurology,general
Neuroscience,1873-7544,7605074,Neurology,general
Neuroscience and biobehavioral reviews,1873-7528,7806090,Neurology,general
